,name,niceName,semitones,part_name,part_number
0,P1,Perfect Unison,0,Soprano,1
1,m2,Minor Second,-1,Soprano,1
2,M2,Major Second,-2,Soprano,1
3,M2,Major Second,-2,Soprano,1
4,P4,Perfect Fourth,5,Soprano,1
5,M2,Major Second,2,Soprano,1
6,M2,Major Second,2,Soprano,1
7,P1,Perfect Unison,0,Soprano,1
8,P1,Perfect Unison,0,Soprano,1
9,M2,Major Second,-2,Soprano,1
10,M2,Major Second,2,Soprano,1
11,P1,Perfect Unison,0,Soprano,1
12,M2,Major Second,-2,Soprano,1
13,M2,Major Second,-2,Soprano,1
14,M2,Major Second,2,Soprano,1
15,P1,Perfect Unison,0,Soprano,1
16,M2,Major Second,-2,Soprano,1
17,P1,Perfect Unison,0,Soprano,1
18,P1,Perfect Unison,0,Soprano,1
19,M2,Major Second,2,Soprano,1
20,M2,Major Second,2,Soprano,1
21,M2,Major Second,-2,Soprano,1
22,M2,Major Second,2,Soprano,1
23,M2,Major Second,-2,Soprano,1
24,M2,Major Second,-2,Soprano,1
25,M2,Major Second,2,Soprano,1
26,m3,Minor Third,-3,Soprano,1
27,M2,Major Second,-2,Soprano,1
28,P4,Perfect Fourth,5,Soprano,1
29,P1,Perfect Unison,0,Soprano,1
30,M2,Major Second,-2,Soprano,1
31,m2,Minor Second,-1,Soprano,1
32,m2,Minor Second,1,Soprano,1
33,m2,Minor Second,-1,Soprano,1
34,M2,Major Second,-2,Soprano,1
35,M2,Major Second,-2,Soprano,1
36,P1,Perfect Unison,0,Soprano,1
37,P4,Perfect Fourth,5,Soprano,1
38,P1,Perfect Unison,0,Soprano,1
39,M2,Major Second,2,Soprano,1
40,P1,Perfect Unison,0,Soprano,1
41,M2,Major Second,2,Soprano,1
42,M2,Major Second,-2,Soprano,1
43,M2,Major Second,2,Soprano,1
44,M3,Major Third,-4,Soprano,1
45,P1,Perfect Unison,0,Soprano,1
46,P4,Perfect Fourth,5,Soprano,1
47,P1,Perfect Unison,0,Soprano,1
48,m2,Minor Second,-1,Soprano,1
49,M2,Major Second,-2,Soprano,1
50,M2,Major Second,2,Soprano,1
51,M2,Major Second,-2,Soprano,1
52,P1,Perfect Unison,0,Soprano,1
53,M2,Major Second,2,Soprano,1
54,P1,Perfect Unison,0,Soprano,1
55,m2,Minor Second,1,Soprano,1
56,P1,Perfect Unison,0,Soprano,1
57,M2,Major Second,2,Soprano,1
58,M2,Major Second,-2,Soprano,1
59,m2,Minor Second,-1,Soprano,1
60,M2,Major Second,-2,Soprano,1
61,M2,Major Second,-2,Soprano,1
62,M3,Major Third,4,Soprano,1
63,M2,Major Second,-2,Soprano,1
64,M2,Major Second,-2,Soprano,1
65,m2,Minor Second,-1,Soprano,1
66,m2,Minor Second,1,Soprano,1
67,m2,Minor Second,-1,Soprano,1
68,M2,Major Second,-2,Soprano,1
69,M2,Major Second,-2,Soprano,1
70,P1,Perfect Unison,0,Soprano,1
71,P4,Perfect Fourth,5,Soprano,1
72,m2,Minor Second,-1,Soprano,1
73,M2,Major Second,-2,Soprano,1
74,M2,Major Second,-2,Soprano,1
75,P5,Perfect Fifth,7,Soprano,1
